Experiment;Estimation
0;950252
1;1477842
2;1293070
3;1039910
4;1100348
5;1343360
6;933006
7;1022884
8;1470596
9;1111574
10;925454
11;722042
12;536818
13;973140
14;1008296
15;1306414
16;883888
17;1193628
18;1057126
19;1137224
20;1570376
21;832162
22;1173642
23;1058762
24;1277724
25;1492710
26;809900
27;747202
28;660102
29;917006
30;1202016
31;961604
32;934096
33;773122
34;807962
35;883774
36;711392
37;753380
38;760960
39;878604
40;929574
41;1032136
42;1180352
43;1272272
44;1359954
45;993394
46;1031558
47;848610
48;1606756
49;892102
50;1022672
51;830056
52;972942
53;1114048
54;671356
55;1305022
56;1072316
57;843458
58;708444
59;1012130
60;912932
61;1397602
62;924398
63;779566
64;673512
65;929094
66;669480
67;888242
68;906710
69;782022
70;813684
71;1780772
72;920082
73;1381234
74;1573576
75;631662
76;1007960
77;1462774
78;1195028
79;1222776
80;958122
81;971814
82;1045948
83;788222
84;766462
85;1682584
86;1167560
87;1180494
88;1089434
89;1629386
90;1000234
91;869216
92;964066
93;1193460
94;1076558
95;1167836
96;794190
97;694106
98;1083116
99;863738
